page|topic|point|source_doc
1|Unknown|-2033 CITIZENS VERSION|IDP_CITIZEN
7|Economic Transformation|NDP aimed at improving the living conditions of the citizens of Kabwe|IDP_CITIZEN
8|Economic Transformation|NDP Eighth National Development Plan|IDP_CITIZEN
9|Economic Transformation|IDPs are backed by Laws such as the Urban and Regional Planning Act No. 3 of 2015; and|IDP_CITIZEN
9|Economic Transformation|The Urban and Regional Planning Act No.3 of 2015 states that local authorities must|IDP_CITIZEN
9|Economic Transformation|To create this plan, consultations were held with many different groups, including|IDP_CITIZEN
10|Economic Transformation|. Make the best use of limited resources:|IDP_CITIZEN
10|Economic Transformation|. Improve services for everyone: The|IDP_CITIZEN
10|Economic Transformation|. Attract more money for development:|IDP_CITIZEN
10|Economic Transformation|. Strengthening local democracy and|IDP_CITIZEN
11|Economic Transformation|. KABWE DISTRICT|IDP_CITIZEN
11|Economic Transformation|Kabwe is the provincial capital of Central Province, located|IDP_CITIZEN
11|Economic Transformation|Kabwe has been an important mining town for decades. Central Province.|IDP_CITIZEN
11|Economic Transformation|The district is connected to the country’s principal railway|IDP_CITIZEN
11|Economic Transformation|• Kabwe’s old motto was “From the earth we derived our|IDP_CITIZEN
11|Economic Transformation|The district is situated on the central plateau system at|IDP_CITIZEN
11|Economic Transformation|,207m above sea level. 55|IDP_CITIZEN
11|Economic Transformation|The district’s geology consists of schists, siltstones, and|IDP_CITIZEN
11|Economic Transformation|Mulungushi River marks the boundary with Kapiri Mposhi|IDP_CITIZEN
11|Economic Transformation|Kabwe’s mean annual temperature is 20.8°C. above seal level.|IDP_CITIZEN
11|Economic Transformation|The district comprises two administrative systems: the|IDP_CITIZEN
11|Economic Transformation|According to the 2022 Census, Kabwe District had a|IDP_CITIZEN
12|Economic Transformation|,176 104, 848 111, 606 118, 498|IDP_CITIZEN
13|Economic Transformation|Kabwe is a short for “Kabwe Ka Mukuba,”|IDP_CITIZEN
14|Economic Transformation|. The district has fertile land and good climatic|IDP_CITIZEN
14|Economic Transformation|. Agriculture accounts for about 38% of the land in|IDP_CITIZEN
14|Economic Transformation|. Minor crops include sunflower, millet, mbambara Hospitality|IDP_CITIZEN
14|Economic Transformation|. Kabwe is centrally located and ideal for setting|IDP_CITIZEN
14|Economic Transformation|. Horticultural crops include tomatoes, cabbage, up hotels and conference facilities.|IDP_CITIZEN
14|Economic Transformation|. The district has about 50,267 smallholder 1. Abundant land is available for investment in the|IDP_CITIZEN
14|Economic Transformation|. Well-developed commercial farming areas|IDP_CITIZEN
14|Economic Transformation|. Abundant land available in the new Mpima area|IDP_CITIZEN
14|Economic Transformation|. A good road and rail link will provide easy|IDP_CITIZEN
14|Economic Transformation|. The development of the Multi-Facility Economic|IDP_CITIZEN
14|Economic Transformation|. Kabwe’s central location and accessibility by|IDP_CITIZEN
14|Economic Transformation|Cargo and logistics airport.|IDP_CITIZEN
14|Economic Transformation|. The district has good climatic conditions to • Roads.|IDP_CITIZEN
14|Economic Transformation|. The district has available land and water to development.|IDP_CITIZEN
14|Economic Transformation|Availability of land for putting up solar plants|IDP_CITIZEN
14|Economic Transformation|. Kabwe district has 3 protected forests that cover and other alternative sources of energy in|IDP_CITIZEN
16|Economic Transformation|. DEVELOPMENT NEEDS AND|IDP_CITIZEN
16|Economic Transformation|. Access to clean 2. Road network and 3. Access to 4. Mobile and internet|IDP_CITIZEN
16|Economic Transformation|. Radio and television 6. Improved revenue for 7. Tourism 8. Improved|IDP_CITIZEN
16|Economic Transformation|. Improved 10. Improved law and 11. Improved social 12.Improved social|IDP_CITIZEN
18|Economic Transformation|Agriculture is a key sector contributing to economic growth, Agriculture is a key|IDP_CITIZEN
18|Economic Transformation|Major field crops grown are maize, soya beans, sorghum,|IDP_CITIZEN
18|Economic Transformation|Minor crops grown are sunflower, millet, mbambara nuts,|IDP_CITIZEN
18|Economic Transformation|Horticultural crops grown are tomatoes, cabbages, rape,|IDP_CITIZEN
18|Economic Transformation|About 50,267 smallholder farmers are registered under the crops grown are|IDP_CITIZEN
18|Economic Transformation|The district has a total number of 118 commercial farmers.|IDP_CITIZEN
18|Economic Transformation|4 agricultural blocks and 19 agricultural camps are spread 24,928 farmers|IDP_CITIZEN
18|Economic Transformation|The extension officer to farmer ratio is 1:2,600 (against the registered 50,267.|IDP_CITIZEN
19|Economic Transformation|You can obtain an agricultural loan of|IDP_CITIZEN
20|Economic Transformation|Absence of a farmer training center. • Construct one Farmer training center in Mutwewansofu by 2023.|IDP_CITIZEN
20|Economic Transformation|Construct 4 agriculture block offices in Munyama, Mpima , Waya and Munga.|IDP_CITIZEN
20|Economic Transformation|each year from 2024 to 2027.|IDP_CITIZEN
20|Economic Transformation|High loss of crops after harvesting. • Construct 19 storage shed facilities in all camps 2 in 2024, 4 in 2025, 6 in|IDP_CITIZEN
20|Economic Transformation|026, 7 in 2027.|IDP_CITIZEN
20|Economic Transformation|High dependence on rains. • Construct a dam in Munyama Block by 2025.|IDP_CITIZEN
20|Economic Transformation|Train 95 farmers in all wards on irrigation farming from 2023 to 2027.|IDP_CITIZEN
20|Economic Transformation|Low practice of value addition. • Train 25 farmers in value addition in various crops in all wards. 5 each year|IDP_CITIZEN
20|Economic Transformation|, 30 in 2026, 40 in 2027.|IDP_CITIZEN
20|Economic Transformation|Inadequate number of farmers benefitting • Lobby for support for more farmers to benefit from the Farmer Input|IDP_CITIZEN
20|Economic Transformation|Low practice of mechanization farming • Train 55 farmers in agricultural mechanisation in all wards. 10 in 2023-2024|IDP_CITIZEN
20|Economic Transformation|Poor agricultural extension service • Buy 29 motorbikes in all wards. 7 each year from 2024 to 2026 and 8 in 2027|IDP_CITIZEN
21|Economic Transformation|FISHERIES AND LIVESTOCK|IDP_CITIZEN
21|Economic Transformation|Foot-and-Mouth Disease (FMD) and East Coast Fever (ECF). the two common|IDP_CITIZEN
21|Economic Transformation|Munyama Veterinary Camp (not operational).|IDP_CITIZEN
21|Economic Transformation|Waya Veterinary Camp (not operational).|IDP_CITIZEN
21|Economic Transformation|Munga West Veterinary Camp (not operational). and only two are|IDP_CITIZEN
21|Economic Transformation|Munga North Veterinary Camp (operational). operational.|IDP_CITIZEN
21|Economic Transformation|Mpima Veterinary Camp (operational).|IDP_CITIZEN
21|Economic Transformation|Conducted in 45 registered ponds, about 10mt produced per About 10 metric|IDP_CITIZEN
21|Economic Transformation|The district has 15 registered cooperatives and 77 farmers|IDP_CITIZEN
21|Economic Transformation|Fish species farmed is Bream.|IDP_CITIZEN
21|Economic Transformation|Zambia Aquaculture Enterprise Development Project|IDP_CITIZEN
22|Economic Transformation|Existing abattoir in a bad state. • Rehabilitate abattoir in the industrial area in Luangwa ward by 2024.|IDP_CITIZEN
22|Economic Transformation|Inadequate infrastructure for • Construct 4 dip tanks in Chinyanja, Muwowo East, Muwowo West and|IDP_CITIZEN
22|Economic Transformation|Rehabilitate 5 dip tanks in Munga West, Munga North, Munyama,|IDP_CITIZEN
22|Economic Transformation|Rehabilitate spray race in Munga by 2024.|IDP_CITIZEN
