page|sector|sentence|numbers_found|source_doc
2|Health|S/N Project Description Ward Constituency Amount Year (ZMW) 1 Constructed Nakoli Maternity Nakoli Kabwe Central 485,648 2022 Annex 2 Completed Chowa Clinic Njanji Kabwe Central 68,966 2022 Maternity Wing 3 Renovated OPD Roof At Kalonga Kabwe Central 131,884 2022 Mahatma Ghandi Clinic 4 Completed Mothers’ Shelter At Kalonga Kabwe Central 80,155 2022 Pollen Clinic 5 Constructed Bwacha Maternity Bwac|1,485648,2022,2,68966,2022,3,131884,2022,4|NEWSLETTER_2024
5|Education|The new facility has provided a safe and comfortable learning environment, allowing students to Constructed 1x3 Classroom Block at Natuseko focus better on their studies.|1,3|NEWSLETTER_2024
6|Education|Pictorial view of some of the projects implemented under the Education Sector Ablution Block-High Ridge Sec School 1 1x3 CRB at Neem Tree Secondary School, Lukanga Ward Constructed ablution block at Katondo Primary School Constructed ablution block at Gombe Primary school 5|1,1,3,5|NEWSLETTER_2024
7|Education|Constructed ablution block at Buseko Primary school Constructed 1x2 Classroom Block at Justin Kabwe School in Kangomba ward Constructed 1x3Classroom Block at Kakama Primary School 6|1,2,1,3,6|NEWSLETTER_2024
8|Education|Constructed 1X3 Science Laboratory at Mwashi Secondary School From Floors to brighter Futures In response to His Excellency, the President of Zambia Mr.|1,3|NEWSLETTER_2024
8|Education|Through the Constituency Development Fund (CDF), about 10,436 desks were procured, transforming classrooms across the district.|10436|NEWSLETTER_2024
8|Education|Handing over of Desks at Bwacha Secondary New Desks at Bwacha Secondary School 1 school The transformation of these schools, through the construction of new classroom blocks, modern sanitation facilities and the procurement of desks under CDF is a testament to the power of community driven draft, thereby setting a foundation for a bright future for the children of these wards.|1|NEWSLETTER_2024
10|Commerce|Ablution block constructed at Kasanda Market Ablution block constructed at Kawama market 9|9|NEWSLETTER_2024
12|Roads and Drainages|been implemented according to the needs of the Kangomba Bridge 1 Newly graded road 1 Grading of roads in Kabwe District 11|1,1,11|NEWSLETTER_2024
17|Water and Sanitation|From Pond To Profit: A Successful Story by a group of 12 individuals which got For A Cooperative That Ventured In Fish a(CDF) loan of K100,000 in July 2024 as a Farming start up Capital with a shared passion for fish The rise of a cooperative called sweet waters farming.|12,100000,2024|NEWSLETTER_2024
