page|priority|sector|source_doc
14|. Agriculture accounts for about 38% of the land in|Agriculture|IDP_CITIZEN
14|. The district has good climatic conditions to • Roads.|Roads and Drainages|IDP_CITIZEN
14|. The district has available land and water to development.|Water and Sanitation|IDP_CITIZEN
16|. Access to clean 2. Road network and 3. Access to 4. Mobile and internet|Roads and Drainages|IDP_CITIZEN
18|Agriculture is a key sector contributing to economic growth, Agriculture is a key|Agriculture|IDP_CITIZEN
20|Not enough agriculture infrastructure such • Construct 29 agriculture camp houses in all wards. 2 in 2024, 4 in 2025, 5 in|Agriculture|IDP_CITIZEN
20|Construct 4 agriculture block offices in Munyama, Mpima , Waya and Munga.|Agriculture|IDP_CITIZEN
20|Limited access to agriculture finances. • Link 110 SMEs to financial institutions in all wards 10 in 2023, 10 in 2024, 20 in|Commerce|IDP_CITIZEN
21|Zambia Aquaculture Enterprise Development Project|Unknown|IDP_CITIZEN
24|Strategic location attracts diverse investment opportunities. North road and its|Roads and Drainages|IDP_CITIZEN
24|Trading, agriculture, agro-processing, manufacturing,|Agriculture|IDP_CITIZEN
24|Availability of financial services aids women’s access to|Unknown|IDP_CITIZEN
25|23 existing markets, with 10 fully active, 13 are still|Commerce|IDP_CITIZEN
25|Three shopping malls exist, but water and sanitation water and sanitation|Water and Sanitation|IDP_CITIZEN
25|Poor water supply and sanitation pose health threats to the|Water and Sanitation|IDP_CITIZEN
25|Not enough market infrastructure. • Construct 13 modern market shelters in Zambezi, Ngungu, Kawama|Commerce|IDP_CITIZEN
25|Poor water supply and sanitation • Rehabilitate sanitation facilities at the following markets: Pollen (1), Njanji|Water and Sanitation|IDP_CITIZEN
25|Limited youths with skills to • Train 2,000 youths in skills development. 500 in each year from 2023 to|Unknown|IDP_CITIZEN
27|Numerous un-gazetted roads and are in a very bad condition systems.|Roads and Drainages|IDP_CITIZEN
27|Classified as feeder roads under the custody of the Local|Roads and Drainages|IDP_CITIZEN
28|Roads Department initiated emergency repair and Emergency repairs|Roads and Drainages|IDP_CITIZEN
28|Poor transport (road, rail and air) • Rehabilitate 50km of damaged township roads and drainages in all wards,|Roads and Drainages|IDP_CITIZEN
28|Construct and maintain 50 Km of township roads and drainages in all|Roads and Drainages|IDP_CITIZEN
28|Buy road construction equipment (grader, compactor, tipper, excavator)|Roads and Drainages|IDP_CITIZEN
31|Poor road accessibility limits awareness of its existence.|Roads and Drainages|IDP_CITIZEN
32|• Limited investment in the • Hold 30 cultural carnival festival / roadshows in all wards. 5 each year from|Roads and Drainages|IDP_CITIZEN
33|Lack of access to electricity in • Connect peri urban wards to the power grid (Chinyanja, Muwowo East and|Energy|IDP_CITIZEN
35|Health facilities total number is: 51. Kabwe district is faced|Health|IDP_CITIZEN
35|Rural areas: fewer facilities, often health posts. The doctor to patient|Health|IDP_CITIZEN
35|Water supply at public health facilities:|Health|IDP_CITIZEN
35|Facilities connected to Lukanga Water and Sanitation|Water and Sanitation|IDP_CITIZEN
36|No enough health workers due to a lack of accommodation.|Health|IDP_CITIZEN
37|Poor water supply at healthcare • Drill 19 boreholes in Chankalamo Health Post, Chililalila Health Post,|Water and Sanitation|IDP_CITIZEN
37|Poor sanitation services at • Construct 57 ablution blocks in Chankalamo Health Post, Chililalila Health|Health|IDP_CITIZEN
37|Not enough health facilities. • Construct 1 district hospital in Natuseko by 2025.|Health|IDP_CITIZEN
37|Upgrade 5 health facilities (construction of OPD block, Laboratory)|Health|IDP_CITIZEN
37|Construct 5 health facilities in Kamushanga (Kakumbi), 4Miles|Health|IDP_CITIZEN
37|Not enough maternity wings. • Construct 24 maternity wings in all health facilities in 2023 (13), 2024 (11).|Health|IDP_CITIZEN
37|Long distance to access health • Purchase 4 ambulances, one each year from 2024 to 2027.|Health|IDP_CITIZEN
37|Some health facilities do not have • Construct 35 boundary wall fences in 2023 (2), 2024 (5), 2025 (8), 2026 (10),|Health|IDP_CITIZEN
37|Not enough houses for health • Construct houses for health staff at 18 health posts (Mpima Dairy, Munga,|Health|IDP_CITIZEN
37|Some health facilities cannot • Purchase 44 user friendly beds in all the health facilities 15 in 2023, 17 in|Health|IDP_CITIZEN
37|Not enough waste management • Construct incinerators at 19 health facilities; Pollen Health Centre,|Health|IDP_CITIZEN
39|Early Education 78 (Community: 3, Public: 43, Private: 32).|Education|IDP_CITIZEN
39|Early education: 2010: 283, 2022: 2,689. district has increased|Education|IDP_CITIZEN
39|Primary education: 2010: 27,423, 2022: 53,973. between 2010 and|Education|IDP_CITIZEN
39|Secondary education: 2010: 11,428, 2022: 25,693. 2022.|Education|IDP_CITIZEN
41|Not enough special education • Establish 8 special education centres in Mine, Grace Christian primary|Education|IDP_CITIZEN
41|• Not enough sanitation facilities • Construct ablution blocks in rural and peri urban schools in Chinyanja,|Education|IDP_CITIZEN
41|• Not enough access to clean • Drill boreholes and establish piped water schemes in Chinyanja, Munga,|Water and Sanitation|IDP_CITIZEN
41|• School infrastructure in a bad • Rehabilitation of 100 existing schools at all levels of education in all wards;|Education|IDP_CITIZEN
43|. WATER AND SANITATION|Water and Sanitation|IDP_CITIZEN
43|Availability and access to water has been affected by access to water|Water and Sanitation|IDP_CITIZEN
43|Major sources: Tap water, boreholes, and protected wells.|Water and Sanitation|IDP_CITIZEN
43|Main supplier: Lukanga Water and Sanitation Company|Water and Sanitation|IDP_CITIZEN
43|Supplied through water reticulation system by LWSC, few water network.|Water and Sanitation|IDP_CITIZEN
43|19,829 households connected to LWSC water network.|Water and Sanitation|IDP_CITIZEN
43|Access to safe and clean water:|Water and Sanitation|IDP_CITIZEN
43|70% from ground water (Kalulu Wellfield).|Water and Sanitation|IDP_CITIZEN
43|Reduction in ground water abstraction:|Water and Sanitation|IDP_CITIZEN
43|Due to high levels of development on water recharge|Water and Sanitation|IDP_CITIZEN
43|Water infrastructure in a bad state resulting in unreliable urban areas is the|Water and Sanitation|IDP_CITIZEN
44|Onsite sanitation includes: septic tanks, VIP toilets, and Majority of people|Water and Sanitation|IDP_CITIZEN
44|Majority use pit latrines, which increases ground water|Water and Sanitation|IDP_CITIZEN
44|Poor sanitation (some communities still practice open|Water and Sanitation|IDP_CITIZEN
44|Poor sanitation (some • Conduct 60 sensitization programs on sanitation and hygiene promotion|Water and Sanitation|IDP_CITIZEN
46|Over 75% built using temporal materials, especially in housing, and|Unknown|IDP_CITIZEN
46|Increased use of concrete blocks, especially in urban areas like piped water and|Water and Sanitation|IDP_CITIZEN
46|Rural households lack utility services like piped water and|Water and Sanitation|IDP_CITIZEN
46|Provision of decent housing, safe water, sanitation, roads,|Water and Sanitation|IDP_CITIZEN
46|Lack of alternative land makes delivering quality housing|Unknown|IDP_CITIZEN
46|Settlements on land meant for road reserves or under high settlements on|Roads and Drainages|IDP_CITIZEN
47|Demand for housing constantly increasing, outpacing constantly due to|Unknown|IDP_CITIZEN
47|Need for quick adaptation of public health, education, social, which causes|Education|IDP_CITIZEN
47|Some people have built on Lukanga Water • Engagements with the local communities to raise awareness about the|Water and Sanitation|IDP_CITIZEN
47|Lack of ownership documents such as • Upgrade informal settlements by providing services such as access roads,|Roads and Drainages|IDP_CITIZEN
48|% of land allocations should be given to women.|Unknown|IDP_CITIZEN
49|Started in 2014 and 423 women have benefited since 2017. development.|Unknown|IDP_CITIZEN
52|Identify and preserve 10 water recharge points in the district by 2024.|Water and Sanitation|IDP_CITIZEN
52|Forests play an important part in water supply|Water and Sanitation|IDP_CITIZEN
53|Lack of modern sports and recreation facilities.|Unknown|IDP_CITIZEN
53|Absence of modern sports and recreation • Develop and rehabilitate existing sports and recreation facilities (Winter|Unknown|IDP_CITIZEN
59|Funding to sectors like education, health, agriculture, social welfare (social cash transfer etc.) for|Education|IDP_CITIZEN
