page|topic|point|source_doc
20|Agriculture|Construct one Farmer training center in Mutwewansofu by 2023.|IDP_CITIZEN
20|Agriculture|Construct 4 agriculture block offices in Munyama, Mpima , Waya and Munga.|IDP_CITIZEN
20|Unknown|Construct a dam in Munyama Block by 2025.|IDP_CITIZEN
21|Unknown|Zambia Aquaculture Enterprise Development Project|IDP_CITIZEN
22|Governance|Rehabilitate abattoir in the industrial area in Luangwa ward by 2024.|IDP_CITIZEN
22|Unknown|Rehabilitate 5 dip tanks in Munga West, Munga North, Munyama,|IDP_CITIZEN
22|Unknown|Rehabilitate spray race in Munga by 2024.|IDP_CITIZEN
22|Unknown|Facilitate the establishment of cold storage facilities in Mpima, Justin|IDP_CITIZEN
24|Commerce|Provides a ready market for commercial and other sectors|IDP_CITIZEN
25|Commerce|Construct 13 modern market shelters in Zambezi, Ngungu, Kawama|IDP_CITIZEN
25|Water and Sanitation|Rehabilitate sanitation facilities at the following markets: Pollen (1), Njanji|IDP_CITIZEN
25|Commerce|Conduct 5 trainings on how to develop business plans focusing on utilising|IDP_CITIZEN
26|Roads and Drainages|Street vending can reduce Council|IDP_CITIZEN
26|Commerce|It is policy that every market constructed|IDP_CITIZEN
27|Unknown|Construction is underway for a transit bus station to boost|IDP_CITIZEN
28|Unknown|Mobile phone service providers: Airtel, MTN and ZAMTEL There is good|IDP_CITIZEN
28|Roads and Drainages|Rehabilitate 50km of damaged township roads and drainages in all wards,|IDP_CITIZEN
28|Roads and Drainages|Construct and maintain 50 Km of township roads and drainages in all|IDP_CITIZEN
28|Roads and Drainages|Buy road construction equipment (grader, compactor, tipper, excavator)|IDP_CITIZEN
28|Roads and Drainages|Construct bridge in Munyama Kalima by 2025.|IDP_CITIZEN
28|Unknown|Upgrade airstrip in Chililalila by 2024.|IDP_CITIZEN
28|Unknown|Construct an airport in Mpima by 2025.|IDP_CITIZEN
28|Unknown|Rehabilitate rail line of 140 km in the entire district, at least 28km per year|IDP_CITIZEN
28|Unknown|Lobby for the expansion of telecommunication services in Kalwelwe|IDP_CITIZEN
30|Unknown|Supports wildlife and provides resources like fish, agricultural|IDP_CITIZEN
30|Unknown|Established in 1992, stocked with various wildlife.|IDP_CITIZEN
30|Unknown|Replica installed at Broken Hill Man monument in Civic|IDP_CITIZEN
31|Unknown|Man-made lake created in 1925 to provide hydroelectric|IDP_CITIZEN
