page|point|sector|source_doc
1|-2033 CITIZENS VERSION|Unknown|IDP_CITIZEN
7|NDP aimed at improving the living conditions of the citizens of Kabwe|Unknown|IDP_CITIZEN
8|NDP Eighth National Development Plan|Unknown|IDP_CITIZEN
9|IDPs are backed by Laws such as the Urban and Regional Planning Act No. 3 of 2015; and|Unknown|IDP_CITIZEN
9|The Urban and Regional Planning Act No.3 of 2015 states that local authorities must|Unknown|IDP_CITIZEN
9|To create this plan, consultations were held with many different groups, including|Unknown|IDP_CITIZEN
10|. Make the best use of limited resources:|Unknown|IDP_CITIZEN
10|. Improve services for everyone: The|Unknown|IDP_CITIZEN
10|. Attract more money for development:|Unknown|IDP_CITIZEN
10|. Strengthening local democracy and|Unknown|IDP_CITIZEN
11|Kabwe is the provincial capital of Central Province, located|Unknown|IDP_CITIZEN
11|Kabwe has been an important mining town for decades. Central Province.|Unknown|IDP_CITIZEN
11|The district is connected to the country’s principal railway|Unknown|IDP_CITIZEN
11|• Kabwe’s old motto was “From the earth we derived our|Unknown|IDP_CITIZEN
11|The district is situated on the central plateau system at|Unknown|IDP_CITIZEN
11|,207m above sea level. 55|Unknown|IDP_CITIZEN
11|The district’s geology consists of schists, siltstones, and|Unknown|IDP_CITIZEN
11|Mulungushi River marks the boundary with Kapiri Mposhi|Unknown|IDP_CITIZEN
11|Kabwe’s mean annual temperature is 20.8°C. above seal level.|Unknown|IDP_CITIZEN
11|The district comprises two administrative systems: the|Unknown|IDP_CITIZEN
11|According to the 2022 Census, Kabwe District had a|Unknown|IDP_CITIZEN
12|,176 104, 848 111, 606 118, 498|Unknown|IDP_CITIZEN
13|Kabwe is a short for “Kabwe Ka Mukuba,”|Unknown|IDP_CITIZEN
14|. The district has fertile land and good climatic|Housing|IDP_CITIZEN
14|. Agriculture accounts for about 38% of the land in|Agriculture|IDP_CITIZEN
14|. Minor crops include sunflower, millet, mbambara Hospitality|Health|IDP_CITIZEN
14|. Kabwe is centrally located and ideal for setting|Unknown|IDP_CITIZEN
14|. Horticultural crops include tomatoes, cabbage, up hotels and conference facilities.|Agriculture|IDP_CITIZEN
14|. The district has about 50,267 smallholder 1. Abundant land is available for investment in the|Housing|IDP_CITIZEN
14|. Well-developed commercial farming areas|Agriculture|IDP_CITIZEN
14|. Abundant land available in the new Mpima area|Housing|IDP_CITIZEN
14|. A good road and rail link will provide easy|Roads and Drainages|IDP_CITIZEN
14|. The development of the Multi-Facility Economic|Unknown|IDP_CITIZEN
14|. Kabwe’s central location and accessibility by|Unknown|IDP_CITIZEN
14|Cargo and logistics airport.|Unknown|IDP_CITIZEN
14|. The district has good climatic conditions to • Roads.|Roads and Drainages|IDP_CITIZEN
14|. The district has available land and water to development.|Water and Sanitation|IDP_CITIZEN
14|Availability of land for putting up solar plants|Energy|IDP_CITIZEN
14|. Kabwe district has 3 protected forests that cover and other alternative sources of energy in|Energy|IDP_CITIZEN
16|. DEVELOPMENT NEEDS AND|Unknown|IDP_CITIZEN
16|. Access to clean 2. Road network and 3. Access to 4. Mobile and internet|Roads and Drainages|IDP_CITIZEN
16|. Radio and television 6. Improved revenue for 7. Tourism 8. Improved|Unknown|IDP_CITIZEN
16|. Improved 10. Improved law and 11. Improved social 12.Improved social|Unknown|IDP_CITIZEN
18|Agriculture is a key sector contributing to economic growth, Agriculture is a key|Agriculture|IDP_CITIZEN
18|Major field crops grown are maize, soya beans, sorghum,|Agriculture|IDP_CITIZEN
18|Minor crops grown are sunflower, millet, mbambara nuts,|Agriculture|IDP_CITIZEN
18|Horticultural crops grown are tomatoes, cabbages, rape,|Agriculture|IDP_CITIZEN
18|About 50,267 smallholder farmers are registered under the crops grown are|Agriculture|IDP_CITIZEN
18|The district has a total number of 118 commercial farmers.|Agriculture|IDP_CITIZEN
18|4 agricultural blocks and 19 agricultural camps are spread 24,928 farmers|Agriculture|IDP_CITIZEN
18|The extension officer to farmer ratio is 1:2,600 (against the registered 50,267.|Agriculture|IDP_CITIZEN
19|You can obtain an agricultural loan of|Unknown|IDP_CITIZEN
20|Absence of a farmer training center. • Construct one Farmer training center in Mutwewansofu by 2023.|Agriculture|IDP_CITIZEN
20|Construct 4 agriculture block offices in Munyama, Mpima , Waya and Munga.|Agriculture|IDP_CITIZEN
20|each year from 2024 to 2027.|Unknown|IDP_CITIZEN
20|High loss of crops after harvesting. • Construct 19 storage shed facilities in all camps 2 in 2024, 4 in 2025, 6 in|Agriculture|IDP_CITIZEN
20|High dependence on rains. • Construct a dam in Munyama Block by 2025.|Unknown|IDP_CITIZEN
20|Train 95 farmers in all wards on irrigation farming from 2023 to 2027.|Agriculture|IDP_CITIZEN
20|Low practice of value addition. • Train 25 farmers in value addition in various crops in all wards. 5 each year|Agriculture|IDP_CITIZEN
20|, 30 in 2026, 40 in 2027.|Unknown|IDP_CITIZEN
20|Inadequate number of farmers benefitting • Lobby for support for more farmers to benefit from the Farmer Input|Agriculture|IDP_CITIZEN
20|Low practice of mechanization farming • Train 55 farmers in agricultural mechanisation in all wards. 10 in 2023-2024|Agriculture|IDP_CITIZEN
20|Poor agricultural extension service • Buy 29 motorbikes in all wards. 7 each year from 2024 to 2026 and 8 in 2027|Governance|IDP_CITIZEN
21|FISHERIES AND LIVESTOCK|Agriculture|IDP_CITIZEN
21|Foot-and-Mouth Disease (FMD) and East Coast Fever (ECF). the two common|Unknown|IDP_CITIZEN
21|Munyama Veterinary Camp (not operational).|Unknown|IDP_CITIZEN
21|Waya Veterinary Camp (not operational).|Unknown|IDP_CITIZEN
21|Munga West Veterinary Camp (not operational). and only two are|Unknown|IDP_CITIZEN
21|Munga North Veterinary Camp (operational). operational.|Unknown|IDP_CITIZEN
21|Mpima Veterinary Camp (operational).|Unknown|IDP_CITIZEN
21|Conducted in 45 registered ponds, about 10mt produced per About 10 metric|Unknown|IDP_CITIZEN
21|The district has 15 registered cooperatives and 77 farmers|Agriculture|IDP_CITIZEN
21|Fish species farmed is Bream.|Agriculture|IDP_CITIZEN
21|Zambia Aquaculture Enterprise Development Project|Unknown|IDP_CITIZEN
22|Existing abattoir in a bad state. • Rehabilitate abattoir in the industrial area in Luangwa ward by 2024.|Governance|IDP_CITIZEN
22|Inadequate infrastructure for • Construct 4 dip tanks in Chinyanja, Muwowo East, Muwowo West and|Unknown|IDP_CITIZEN
22|Rehabilitate 5 dip tanks in Munga West, Munga North, Munyama,|Unknown|IDP_CITIZEN
22|Rehabilitate spray race in Munga by 2024.|Unknown|IDP_CITIZEN
22|Absence cold storage facilities. • Facilitate the establishment of cold storage facilities in Mpima, Justin|Unknown|IDP_CITIZEN
22|Absence of a bulking centre. • Build a bulking centre in Highridge (town centre) by 2025.|Unknown|IDP_CITIZEN
22|Absence of a local hatchery. • Build a local hatchery in Mpima by 2026.|Unknown|IDP_CITIZEN
22|Regular veterinary visits can lengthen|Unknown|IDP_CITIZEN
24|. COMMERCE AND TRADE|Commerce|IDP_CITIZEN
24|Well-connected to other towns and provinces via Great|Unknown|IDP_CITIZEN
24|Strategic location attracts diverse investment opportunities. North road and its|Roads and Drainages|IDP_CITIZEN
