service_id|service|description|department|category|source_type|source_url
1|Environmental Health|Safeguards community health through environmental health activities|Public Health Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2640
2|Disease Prevention and Control|Provides disease prevention, control, health screening and outbreak response activities|Public Health Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2640
3|Waste Management|Provides solid waste management and waste-management activities|Public Health Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2640
4|Food Safety and Workplace Inspections|Inspects restaurants, markets, factories and workplaces and supports compliance certification|Public Health Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2640
5|Public Health Awareness and Education|Provides workshops, school programmes, media campaigns and community education|Public Health Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2640
6|Pest and Vector Management|Provides pest and vector surveillance, spraying and community clean-up activities|Public Health Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2640
7|Funeral and Burial Services|Provides cemetery administration, plot allocation, crematorium operations and mortuary support|Public Health Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2640
8|Clinical and Nursing Services|Provides preventive and curative healthcare through clinical and nursing services|Health Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2649
9|Pharmaceutical and Diagnostic Services|Provides pharmaceutical services and diagnostic services including laboratory testing|Health Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2649
10|Vaccination and Child Health Programmes|Implements vaccination campaigns and child health programmes|Health Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2649
11|Maternal Health and Family Planning|Coordinates maternal health and family planning services|Health Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2649
12|Health Education and Disease Surveillance|Manages health education and disease surveillance programmes|Health Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2649
13|Legal Advisory Services|Provides legal advice to the Council and supports compliance with applicable laws|Legal Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3894
14|Trading Licence Processing|Processes applications for various trading licences and permits|Legal Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3894
15|Land Application Processing|Processes land applications and supports land-related administrative procedures|Legal Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3894
16|Building Inspections|Conducts building inspections and identifies unauthorised development|Planning Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3897
17|Plot Numbering|Provides plot numbering as part of town planning activities|Planning Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3897
18|Survey Services|Provides property boundary, road marking, survey diagram and survey report services|Planning Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3897
19|GIS Management|Manages geographical information systems|Planning Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3897
20|Environmental Planning|Supports environmental assessment, environmental profiling and environmental planning|Planning Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3897
21|Community Development Services|Facilitates community development activities and community mobilisation|Housing and Social Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3900
22|Social Protection Programmes|Coordinates and implements social protection programmes|Housing and Social Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3900
23|Housing Services|Supports housing services and upgrading of unplanned settlements|Housing and Social Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3900
24|Markets and Bus Stations Management|Manages markets and bus stations to support smooth operations and revenue collection|Housing and Social Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3900
25|Library Services|Provides library services|Housing and Social Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3900
26|Sports and Recreation|Provides sports and recreation activities|Housing and Social Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3900
27|Skills Development|Supports skills development programmes within communities|Housing and Social Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3900
28|Veterinary Services|Provides veterinary services across the district|Fisheries, Livestock and Veterinary Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3903
29|Livestock Development|Supports livestock productivity, welfare and sustainable livestock farming|Fisheries, Livestock and Veterinary Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3903
30|Fisheries and Aquaculture Services|Supports fisheries and aquaculture development, training, regulation and education|Fisheries, Livestock and Veterinary Services Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3903
31|Agricultural Extension Services|Provides extension services to farmers and supports agricultural development|Agriculture Department|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=3906
32|Licenses and levies|Council service listed under the Services section of the official website|Council Services|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2142
33|Waste Management|Council service listed under the Services section of the official website|Council Services|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2150
34|E-GP|Council service listed under the Services section of the official website|Council Services|Council Service|Official council webpage|https://www.kabwecouncil.gov.zm/?page_id=2155
